Data,Velocidade,Temperatura,Umidade,Pressão,Direção
1/1/2004,"6,33","29,13","67,67","1010,97","11,00"
1/2/2004,"4,63","29,47","70,33","1010,67","5,67"
1/3/2004,"5,47","29,00","73,00","1010,20","7,67"
1/4/2004,"7,97","30,00","70,00","1009,57","10,67"
1/5/2004,"6,73","29,60","67,67","1009,03","11,00"
1/6/2004,"5,80","30,07","65,33","1009,43","9,33"
1/7/2004,"5,67","30,27","65,00","1009,63","9,33"
1/8/2004,"6,50","30,27","65,67","1008,97","19,67"
1/9/2004,"6,77","30,07","66,33","1009,40","21,33"
1/10/2004,"4,53","29,20","71,67","1009,37","19,67"
1/11/2004,"4,70","29,47","71,33","1010,40","9,33"
1/12/2004,"3,13","28,07","82,00","1011,63","10,67"
1/13/2004,"3,83","28,20","79,00","1011,43","18,00"
1/14/2004,"3,97","27,53","82,33","1010,70","9,00"
1/15/2004,"3,13","27,60","82,67","1011,03","24,33"
1/16/2004,"4,90","29,53","73,33","1009,10","7,67"
1/17/2004,"4,97","29,53","71,00","1008,87","9,33"
1/18/2004,"4,47","27,53","78,67","1011,33","22,67"
1/19/2004,"5,43","27,53","77,33","1010,97","21,00"
1/20/2004,"2,80","27,40","81,33","1010,73","24,33"
1/21/2004,"2,53","26,00","85,00","1011,33","10,67"
1/22/2004,"2,97","25,93","84,67","1009,57","12,33"
1/23/2004,"3,60","27,60","79,33","1009,03","10,67"
1/24/2004,"3,23","28,27","74,00","1010,13","22,67"
1/25/2004,"2,73","27,60","86,00","1011,43","25,67"
1/26/2004,"4,20","26,93","83,67","1012,10","24,33"
1/27/2004,"3,53","25,80","86,33","1011,23","16,67"
1/28/2004,"5,93","24,80","88,67","1012,07","25,67"
1/29/2004,"2,83","27,13","82,67","1011,63","19,67"
1/30/2004,"2,87","25,80","88,00","1011,77","16,67"
1/31/2004,"2,73","27,13","82,67","1012,03","13,67"
2/1/2004,"2,10","25,73","88,67","1012,60","30,00"
2/2/2004,"2,20","27,73","82,33","1011,50","9,33"
2/3/2004,"3,13","28,13","77,33","1010,60","10,67"
2/4/2004,"5,30","26,53","84,67","1010,60","10,67"
2/5/2004,"3,63","26,93","84,33","1010,07","15,33"
2/6/2004,"1,67","27,13","84,67","1010,17","15,33"
2/7/2004,"2,20","27,53","84,00","1009,80","15,00"
2/8/2004,"2,77","26,87","81,00","1011,20","10,67"
2/9/2004,"3,07","28,80","79,33","1011,97","9,33"
2/10/2004,"5,23","28,87","73,00","1010,77","9,33"
2/11/2004,"4,47","29,53","70,00","1010,63","16,67"
2/12/2004,"4,07","29,33","69,00","1011,47","12,33"
2/13/2004,"5,33","29,27","77,00","1011,93","16,67"
2/14/2004,"6,03","26,93","80,67","1012,03","13,67"
2/15/2004,"4,80","27,73","80,67","1010,83","13,67"
2/16/2004,"2,77","27,00","84,67","1011,20","10,67"
2/17/2004,"4,20","28,53","80,00","1011,80","9,33"
2/18/2004,"4,20","29,53","70,67","1011,33","13,67"
2/19/2004,"5,00","28,67","74,33","1010,33","10,67"
2/20/2004,"4,47","29,20","77,67","1009,87","12,33"
2/21/2004,"5,07","28,53","77,67","1010,90","11,00"
2/22/2004,"4,53","28,60","76,00","1011,37","9,33"
2/23/2004,"4,20","29,07","73,67","1012,03","11,00"
2/24/2004,"4,30","28,93","73,00","1011,90","10,67"
2/25/2004,"3,70","28,03","83,00","1011,57","12,33"
2/26/2004,"4,63","27,53","83,00","1011,67","10,67"
2/27/2004,"2,30","27,60","80,33","1012,50","9,33"
2/28/2004,"3,27","28,80","74,33","1010,73","9,33"
2/29/2004,"4,90","28,93","80,33","1010,60","12,33"
3/1/2004,"5,13","29,07","77,33","1010,77","11,00"
3/2/2004,"4,03","29,33","74,67","1010,33","12,33"
3/3/2004,"4,47","29,33","71,33","1011,10","10,67"
3/4/2004,"4,23","29,27","71,00","1011,07","19,67"
3/5/2004,"5,00","29,73","69,00","1011,57","9,33"
3/6/2004,"4,37","28,00","77,00","1011,03","11,00"
3/7/2004,"3,07","26,13","85,67","1011,93","13,67"
3/8/2004,"3,27","26,20","87,33","1012,53","17,00"
3/9/2004,"3,63","27,80","76,67","1012,60","10,67"
3/10/2004,"4,57","28,67","74,67","1012,70","11,00"
3/11/2004,"3,03","28,53","76,67","1011,77","10,67"
3/12/2004,"3,20","29,00","76,33","1010,30","9,33"
3/13/2004,"4,60","29,40","69,67","1010,97","9,33"
3/14/2004,"4,83","29,53","72,33","1011,23","12,33"
3/15/2004,"5,37","29,33","70,67","1010,37","9,33"
3/16/2004,"3,40","28,20","78,00","1010,03","9,33"
3/17/2004,"4,03","29,47","74,33","1009,17","9,33"
3/18/2004,"4,97","29,53","74,33","1009,60","11,00"
3/19/2004,"4,30","29,87","69,67","1010,17","11,00"
3/20/2004,"4,27","29,80","70,33","1009,67","12,33"
3/21/2004,"5,43","29,60","70,67","1009,33","9,33"
3/22/2004,"5,60","29,67","74,67","1009,37","11,00"
3/23/2004,"5,20","28,33","79,67","1010,10","11,00"
3/24/2004,"4,33","29,87","75,00","1009,97","12,33"
3/25/2004,"4,83","30,20","65,33","1009,17","12,33"
3/26/2004,"3,77","29,27","72,67","1009,80","16,67"
3/27/2004,"4,33","29,87","67,33","1008,87","10,67"
3/28/2004,"5,63","31,00","66,00","1008,90","13,67"
3/29/2004,"4,93","30,73","60,00","1009,93","13,67"
3/30/2004,"4,30","29,73","64,00","1011,50","10,67"
3/31/2004,"5,10","29,27","69,00","1012,53","10,67"
4/1/2004,"3,80","29,67","72,33","1012,03","10,67"
4/2/2004,"4,27","29,80","71,33","1011,77","9,33"
4/3/2004,"5,03","30,07","68,67","1011,83","9,33"
4/4/2004,"4,97","29,93","71,67","1012,23","9,33"
4/5/2004,"3,67","28,60","78,67","1012,27","10,67"
4/6/2004,"4,33","29,07","74,33","1011,33","9,33"
4/7/2004,"4,90","29,77","72,33","1010,03","10,67"
4/8/2004,"3,97","29,50","73,33","1011,03","9,33"
4/9/2004,"5,53","29,07","75,67","1011,80","11,00"
