Data,Velocidade,Temperatura,Umidade,Pressão,Direção
1/1/2004,"6,50","26,46","62,32","969,02","147,89"
1/2/2004,"6,62","26,71","63,68","969,30","160,62"
1/3/2004,"8,47","27,23","62,08","969,26","127,97"
1/4/2004,"6,50","27,25","57,70","969,06","120,62"
1/5/2004,"8,11","27,57","60,93","968,40","110,70"
1/6/2004,"7,20","27,81","55,58","967,54","112,31"
1/7/2004,"7,37","27,97","55,27","968,41","151,45"
1/8/2004,"7,65","27,69","58,96","968,60","143,53"
1/9/2004,"7,50","27,67","58,44","968,35","138,61"
1/10/2004,"6,64","27,97","55,40","967,87","124,58"
1/11/2004,"7,20","28,62","55,57","967,74","126,56"
1/12/2004,"6,00","25,98","71,98","968,21","147,79"
1/13/2004,"5,80","25,73","75,67","968,24","167,53"
1/14/2004,"5,98","26,21","70,22","968,98","160,07"
1/15/2004,"6,41","27,90","59,31","968,92","143,55"
1/16/2004,"7,21","28,39","53,92","969,03","126,05"
1/17/2004,"9,20","28,47","53,13","969,49","124,38"
1/18/2004,"8,32","27,89","51,16","969,72","119,12"
1/19/2004,"7,54","28,10","48,93","969,14","132,37"
1/20/2004,"8,10","28,12","52,42","969,08","116,00"
1/21/2004,"7,26","28,30","55,81","969,43","119,95"
1/22/2004,"6,59","28,53","50,79","968,44","122,94"
1/23/2004,"6,95","28,82","45,85","967,33","121,47"
1/24/2004,"7,79","29,02","48,37","967,91","127,73"
1/25/2004,"7,86","29,07","46,89","967,90","125,82"
1/26/2004,"7,23","28,86","49,75","967,61","122,23"
1/27/2004,"7,81","29,36","48,50","967,32","118,65"
1/28/2004,"7,64","29,08","48,69","968,02","120,98"
1/29/2004,"8,59","29,15","49,62","968,14","116,31"
1/30/2004,"8,15","29,25","47,20","968,45","132,19"
1/31/2004,"8,20","29,30","47,59","968,19","137,30"
2/1/2004,"8,81","29,26","52,05","968,97","134,40"
2/2/2004,"7,69","28,90","52,59","969,14","161,69"
2/3/2004,"7,06","27,22","61,03","968,97","176,02"
2/4/2004,"6,94","25,98","65,09","969,37","170,95"
2/5/2004,"7,27","26,83","63,96","968,93","165,96"
2/6/2004,"7,89","27,46","59,26","968,42","141,38"
2/7/2004,"7,42","27,85","56,00","968,04","153,68"
2/8/2004,"6,56","27,04","62,41","968,60","156,38"
2/9/2004,"6,99","27,32","60,19","968,92","141,97"
2/10/2004,"7,36","27,35","60,65","968,71","136,47"
2/11/2004,"7,44","27,38","56,87","968,01","134,81"
2/12/2004,"7,10","28,04","57,50","967,67","173,34"
2/13/2004,"6,51","25,45","71,94","968,49","181,12"
2/14/2004,"7,08","26,90","65,72","968,14","173,04"
2/15/2004,"6,44","27,15","64,07","968,02","140,29"
2/16/2004,"6,45","26,77","69,66","967,72","140,40"
2/17/2004,"7,26","27,49","66,65","967,64","144,08"
2/18/2004,"6,85","26,30","70,11","968,04","132,91"
2/19/2004,"5,48","27,29","64,39","967,43","154,22"
2/20/2004,"6,87","25,38","72,36","968,72","175,08"
2/21/2004,"6,05","26,42","66,88","968,56","150,09"
2/22/2004,"6,57","26,24","71,17","969,13","130,17"
2/23/2004,"6,59","25,97","70,46","969,75","134,41"
2/24/2004,"6,96","25,87","70,72","970,13","123,93"
2/25/2004,"6,55","26,71","67,26","969,32","138,19"
2/26/2004,"6,39","26,08","73,78","968,53","126,84"
2/27/2004,"6,65","26,86","69,70","968,56","130,85"
2/28/2004,"7,22","26,61","68,24","968,98","121,94"
2/29/2004,"6,61","26,44","71,09","968,75","164,16"
3/1/2004,"6,57","27,10","64,65","968,46","142,48"
3/2/2004,"6,35","26,68","66,73","968,76","164,87"
3/3/2004,"7,05","27,32","66,38","968,42","140,57"
3/4/2004,"5,87","27,10","62,56","968,38","149,87"
3/5/2004,"6,65","27,44","59,27","968,20","138,42"
3/6/2004,"6,69","26,56","67,02","968,10","148,29"
3/7/2004,"6,13","26,00","69,97","967,88","167,37"
3/8/2004,"5,96","25,17","77,96","969,15","175,84"
3/9/2004,"5,70","26,70","68,65","969,73","155,66"
3/10/2004,"6,48","27,23","67,17","969,10","163,65"
3/11/2004,"6,80","27,37","61,82","968,33","150,60"
3/12/2004,"6,16","27,54","58,79","967,69","150,35"
3/13/2004,"6,67","27,87","58,25","968,06","120,01"
3/14/2004,"7,97","27,86","55,12","968,96","121,81"
3/15/2004,"7,49","27,66","57,15","969,62","128,41"
3/16/2004,"7,97","27,80","59,75","969,03","143,76"
3/17/2004,"8,25","27,74","59,51","968,90","130,07"
3/18/2004,"8,27","27,59","55,60","969,06","131,01"
3/19/2004,"7,74","27,90","58,50","969,35","125,98"
3/20/2004,"7,18","27,63","60,53","969,73","133,21"
3/21/2004,"5,77","26,40","70,08","969,56","129,35"
3/22/2004,"5,55","25,02","78,17","969,03","175,64"
3/23/2004,"5,26","26,21","73,34","968,49","168,19"
3/24/2004,"6,86","26,31","70,24","968,73","156,28"
3/25/2004,"7,30","26,87","62,90","968,86","141,37"
3/26/2004,"8,15","26,98","62,70","969,16","139,97"
