inicio-semana,preco-pesado,preco-medio,preco-leve,geracao-hidraulica,geracao-termica,carga-energia,reservatorio-EARM,reservatorio-ENA
8/4/2001,"684,00","684,00","684,00","29242,57","3921,71","33446,00","20,09","60,14"
8/11/2001,"684,00","684,00","684,00","28742,71","4210,86","33554,00","19,22","59,86"
8/18/2001,"684,00","684,00","684,00","28801,29","4251,00","33838,14","23,78","62,71"
8/25/2001,"684,00","684,00","684,00","28746,00","4390,43","34118,86","17,29","58,43"
9/1/2001,"684,00","684,00","684,00","28657,14","4191,86","33868,00","16,26","59,14"
9/8/2001,"684,00","684,00","684,00","28861,71","4404,57","34273,29","15,22","61,00"
9/15/2001,"684,00","684,00","684,00","28654,43","4152,14","33801,86","14,22","65,00"
9/22/2001,"562,15","562,15","562,15","29333,71","4394,43","34704,14","13,22","65,14"
9/29/2001,"562,15","562,15","562,15","30066,29","4028,57","34488,00","12,14","56,57"
10/6/2001,"562,15","562,15","562,15","29999,29","3911,57","33943,43","11,10","58,86"
10/13/2001,"562,15","562,15","562,15","30030,71","4133,86","34201,86","10,19","59,00"
10/20/2001,"562,15","562,15","562,15","30311,71","4088,00","34426,00","9,24","63,43"
10/27/2001,"562,15","562,15","562,15","30757,57","3846,86","34630,14","8,53","70,29"
11/3/2001,"562,15","562,15","562,15","30988,43","3143,43","34757,14","8,00","63,57"
11/10/2001,"562,15","562,15","562,15","29727,14","4159,86","34679,14","7,50","57,71"
11/17/2001,"562,15","562,15","562,15","30072,43","4522,86","35489,71","7,39","55,71"
11/24/2001,"562,15","562,15","562,15","31942,71","4506,71","36507,57","7,66","60,00"
12/1/2001,"562,15","562,15","562,15","31248,57","4545,57","35837,29","8,81","68,14"
12/8/2001,"562,15","562,15","562,15","32164,43","4791,00","37121,86","10,16","80,86"
12/15/2001,"562,15","562,15","562,15","31296,57","4590,00","36468,86","10,65","79,43"
12/22/2001,"562,15","562,15","562,15","28150,57","3828,14","32143,43","12,19","75,71"
12/29/2001,"562,15","562,15","562,15","11826,43","1268,14","13113,86","21,06","86,33"
1/1/2002,"562,15","562,15","562,15","16610,71","2339,14","19214,43","15,59","42,75"
1/5/2002,"562,15","562,15","562,15","31010,00","4714,57","36451,57","21,14","58,29"
1/12/2002,"562,15","562,15","562,15","30895,00","4455,29","36137,57","26,70","90,86"
1/19/2002,"562,15","562,15","562,15","32936,86","3588,43","36981,00","32,98","99,86"
1/26/2002,"319,41","319,41","319,41","34322,43","4069,86","38435,00","36,92","97,14"
2/2/2002,"319,41","319,41","319,41","33088,57","4281,71","37415,71","40,98","96,71"
2/9/2002,"319,41","319,41","319,41","31533,29","4146,57","35725,29","48,87","104,29"
2/16/2002,"319,41","319,41","319,41","34778,00","3668,86","38488,57","49,01","91,43"
2/23/2002,"319,41","319,41","319,41","35445,14","3723,14","39213,29","54,56","94,43"
3/2/2002,"4,00","4,00","4,00","36258,14","3651,71","39952,57","58,80","99,71"
3/9/2002,"4,88","4,88","4,88","38010,57","3180,00","41233,00","61,27","106,43"
3/16/2002,"7,32","7,32","7,32","37800,29","3124,29","40969,71","62,49","99,57"
3/23/2002,"7,04","7,04","7,04","35652,14","3189,00","38888,29","63,14","87,86"
