inicio-semana,preco-pesado,preco-medio,preco-leve,geracao-hidraulica,geracao-termica,carga-energia,reservatorio-EARM,reservatorio-ENA
8/4/2001,"684,00","684,00","684,00","2952,29","0,00","2204,00","62,42","89,57"
8/11/2001,"684,00","684,00","684,00","2956,57","0,00","2141,57","59,75","88,57"
8/18/2001,"684,00","684,00","684,00","2909,71","0,00","2110,43","56,75","83,86"
8/25/2001,"684,00","684,00","684,00","2631,00","0,00","2095,43","53,63","79,29"
9/1/2001,"684,00","684,00","684,00","2558,86","0,00","2069,14","50,64","76,00"
9/8/2001,"684,00","684,00","684,00","2719,29","0,00","2059,86","47,44","70,00"
9/15/2001,"684,00","684,00","684,00","2836,29","0,00","2071,86","44,14","69,00"
9/22/2001,"336,00","336,00","336,00","2925,86","0,00","2081,71","40,70","71,57"
9/29/2001,"336,00","336,00","336,00","3065,43","0,00","2092,14","36,94","73,43"
10/6/2001,"336,00","336,00","336,00","2787,43","0,00","2086,71","33,28","72,14"
10/13/2001,"336,00","336,00","336,00","2792,71","0,00","2082,86","30,19","80,43"
10/20/2001,"336,00","336,00","336,00","2925,29","0,00","2103,14","27,17","86,43"
10/27/2001,"336,00","336,00","336,00","3043,14","0,00","2085,43","24,61","89,86"
11/3/2001,"336,00","336,00","336,00","2971,86","0,00","2100,43","22,30","87,29"
11/10/2001,"336,00","336,00","336,00","2975,14","0,00","2090,43","20,09","85,29"
11/17/2001,"336,00","336,00","336,00","2785,57","0,00","2062,86","17,88","83,86"
11/24/2001,"336,00","336,00","336,00","2556,86","0,00","2070,86","17,48","89,00"
12/1/2001,"336,00","336,00","336,00","2654,29","0,00","2041,57","19,46","83,57"
12/8/2001,"336,00","336,00","336,00","3114,29","0,00","2115,71","23,23","99,29"
12/15/2001,"336,00","336,00","336,00","3154,71","0,00","2181,29","26,83","104,43"
12/22/2001,"336,00","336,00","336,00","3195,43","0,00","2104,86","31,38","108,14"
12/29/2001,"336,00","336,00","336,00","1394,86","0,00","879,14","36,17","114,00"
1/1/2002,"4,00","4,00","4,00","1948,43","0,00","1263,29","40,71","96,00"
1/5/2002,"4,00","4,00","4,00","3616,14","0,00","2265,14","51,03","114,29"
1/12/2002,"4,00","4,00","4,00","3631,14","0,00","2373,43","61,24","139,71"
1/19/2002,"4,00","4,00","4,00","3262,00","0,00","2369,00","68,41","162,86"
1/26/2002,"4,19","4,19","4,19","3256,86","0,00","2428,14","70,84","170,43"
2/2/2002,"5,17","5,17","5,17","3549,00","0,00","2474,43","71,65","120,86"
2/9/2002,"4,19","4,19","4,19","3453,71","0,00","2451,00","73,05","124,29"
2/16/2002,"4,00","4,00","4,00","3449,29","0,00","2558,14","73,81","134,29"
2/23/2002,"4,49","4,49","4,49","2978,71","0,00","2209,43","75,07","134,33"
3/1/2002,"4,49","4,49","4,49","539,00","0,00","376,43","75,31","98,00"
3/2/2002,"4,00","4,00","4,00","3417,86","0,00","2497,00","75,77","97,00"
3/9/2002,"4,88","4,88","4,88","3457,86","0,00","2541,71","76,09","96,57"
3/16/2002,"7,32","7,32","7,32","3598,71","0,00","2570,00","76,41","95,86"
3/23/2002,"7,04","7,04","7,04","3731,43","0,00","2539,00","77,58","94,86"
3/30/2002,"6,17","6,17","6,17","3607,43","0,00","2556,43","78,05","102,29"
4/6/2002,"5,72","5,72","5,72","3572,86","0,00","2569,00","78,29","102,00"
4/13/2002,"8,71","8,71","8,71","3263,00","0,00","2577,57","78,38","98,71"
4/20/2002,"8,75","8,75","8,75","3406,86","0,00","2598,43","78,44","96,71"
4/27/2002,"20,57","20,09","20,03","3410,14","0,00","2566,57","75,00","93,57"
5/4/2002,"27,19","25,24","24,87","3402,00","0,00","2605,86","73,62","90,00"
5/11/2002,"4,00","4,00","4,00","3589,71","0,00","2575,00","73,69","82,57"
5/18/2002,"4,13","4,13","4,13","3647,43","0,00","2586,00","73,97","74,29"
5/25/2002,"4,00","4,00","4,00","3521,29","0,00","2547,71","74,20","69,00"
6/1/2002,"5,57","5,57","5,57","3636,14","0,00","2585,43","74,24","99,86"
6/8/2002,"7,69","7,69","4,70","3810,86","0,00","2598,00","73,96","83,43"
6/15/2002,"7,73","7,73","6,17","3880,00","0,00","2608,00","73,40","77,29"
6/22/2002,"7,61","7,61","4,00","3681,57","0,00","2601,57","72,07","76,86"
6/29/2002,"15,89","15,89","15,01","3765,14","0,00","2613,86","69,96","81,00"
7/6/2002,"17,52","17,52","8,15","3787,43","0,00","2599,57","67,19","85,29"
7/13/2002,"17,35","11,88","11,12","3675,14","0,00","2607,29","64,50","83,00"
7/20/2002,"15,59","15,59","6,69","3694,86","0,00","2592,29","61,82","81,57"
7/27/2002,"14,83","14,71","14,61","3569,86","0,00","2615,57","59,07","88,14"
8/3/2002,"13,52","13,52","12,92","3430,43","0,00","2602,43","55,89","96,71"
8/10/2002,"9,51","9,44","9,39","3276,86","0,00","2627,71","52,49","89,43"
8/17/2002,"10,21","10,11","9,99","3335,57","0,00","2681,86","49,03","81,14"
8/24/2002,"12,11","11,80","11,79","3346,43","0,00","2656,71","44,63","77,14"
8/31/2002,"5,93","5,93","5,86","3184,29","0,00","2622,14","40,95","79,29"
9/7/2002,"5,87","5,81","5,65","3156,29","0,00","2625,71","37,53","84,14"
9/14/2002,"5,54","5,54","5,54","3008,86","0,00","2590,57","34,28","83,71"
9/21/2002,"4,93","4,87","4,83","3128,86","0,00","2631,57","30,85","81,43"
9/28/2002,"4,00","4,00","4,00","2952,86","0,00","2645,00","27,29","78,00"
10/5/2002,"4,00","4,00","4,00","2900,29","0,00","2642,14","24,53","79,43"
10/12/2002,"4,06","4,00","4,00","2938,14","0,00","2636,57","21,51","83,71"
10/19/2002,"4,67","4,66","4,55","2947,57","0,00","2636,86","296,44","78,14"
10/26/2002,"6,77","6,59","6,59","2549,29","0,00","2614,29","15,82","73,43"
11/2/2002,"6,87","6,71","6,71","2708,86","0,00","2652,00","13,84","55,86"
11/9/2002,"6,00","5,85","5,64","2513,86","0,00","2663,43","12,28","60,29"
11/16/2002,"6,05","5,88","5,88","2106,43","0,00","2653,14","10,73","65,14"
11/23/2002,"7,44","7,44","6,18","1890,57","0,00","2679,57","9,65","66,00"
11/30/2002,"5,84","5,84","5,84","1708,43","0,00","2659,00","8,93","39,14"
12/7/2002,"7,27","7,27","6,97","1431,71","0,00","2577,29","8,73","34,71"
12/14/2002,"9,61","9,61","9,21","1681,14","0,00","2591,86","9,05","39,29"
12/21/2002,"4,01","4,01","4,01","1959,86","0,00","2567,00","10,57","46,29"
12/28/2002,"4,00","4,00","4,00","2321,86","0,00","2575,86","11,89","49,86"
1/4/2003,"5,29","5,25","5,19","2428,71","0,00","2666,29","15,32","55,29"
1/11/2003,"4,00","4,00","4,00","2527,00","0,00","2649,00","19,66","60,14"
1/18/2003,"4,12","4,09","4,01","2528,14","0,00","2550,29","23,43","59,00"
1/25/2003,"4,00","4,00","4,00","2669,71","0,00","2606,71","29,60","62,57"
2/1/2003,"4,00","4,00","4,00","2967,43","0,00","2643,71","39,73","74,29"
2/8/2003,"4,00","4,00","4,00","3303,00","0,00","2655,57","48,68","70,29"
2/15/2003,"4,00","4,00","4,00","3382,14","0,00","2688,14","58,67","67,00"
2/22/2003,"4,00","4,00","4,00","3176,43","0,00","2753,86","69,93","70,71"
3/1/2003,"4,00","4,00","4,00","3223,57","0,00","2687,00","74,76","88,43"
3/8/2003,"4,00","4,00","4,00","3480,14","0,00","2738,00","76,81","84,71"
3/15/2003,"4,00","4,00","4,00","3352,29","0,00","2682,14","78,95","84,86"
3/22/2003,"4,00","4,00","4,00","3403,57","0,00","2723,86","80,01","87,43"
3/29/2003,"4,00","4,00","4,00","1450,43","0,00","1147,29","80,38","90,00"
