inicio_semana,sudeste,sul,nordeste,norte
6/30/2001,"684,00","141,61","684,00","684,00"
7/7/2001,"684,00","4,00","684,00","684,00"
7/14/2001,"684,00","4,00","684,00","684,00"
7/21/2001,"684,00","86,94","684,00","684,00"
7/28/2001,"684,00","4,00","684,00","684,00"
8/4/2001,"684,00","4,00","684,00","684,00"
8/11/2001,"684,00","37,12","684,00","684,00"
8/18/2001,"684,00","60,62","684,00","684,00"
8/25/2001,"684,00","86,94","684,00","684,00"
9/1/2001,"684,00","93,24","684,00","684,00"
9/8/2001,"684,00","63,55","684,00","684,00"
9/15/2001,"684,00","79,72","684,00","684,00"
9/22/2001,"336,00","63,55","562,15","336,00"
9/29/2001,"336,00","63,55","562,15","336,00"
10/6/2001,"336,00","4,00","562,15","336,00"
10/13/2001,"336,00","4,00","562,15","336,00"
10/20/2001,"336,00","4,00","562,15","336,00"
10/27/2001,"336,00","4,00","562,15","336,00"
11/3/2001,"336,00","41,74","562,15","336,00"
11/10/2001,"336,00","46,62","562,15","336,00"
11/17/2001,"336,00","41,74","562,15","336,00"
11/24/2001,"336,00","31,82","562,15","336,00"
12/1/2001,"336,00","4,00","562,15","336,00"
12/8/2001,"336,00","4,00","562,15","336,00"
12/15/2001,"336,00","49,30","562,15","336,00"
12/22/2001,"336,00","41,74","562,15","336,00"
12/29/2001,"336,00","41,74","562,15","336,00"
1/1/2002,"336,00","41,74","562,15","4,00"
1/5/2002,"336,00","64,04","562,15","4,00"
1/12/2002,"336,00","64,04","562,15","4,00"
1/19/2002,"336,00","64,04","562,15","4,00"
1/26/2002,"134,76","8,88","319,41","4,19"
2/2/2002,"134,76","10,82","319,41","5,17"
2/9/2002,"9,25","8,88","319,41","4,19"
2/16/2002,"5,42","5,14","319,41","4,00"
2/23/2002,"8,14","6,97","319,41","4,49"
3/2/2002,"4,66","4,12","4,00","4,00"
3/9/2002,"8,70","8,38","4,88","4,88"
3/16/2002,"13,10","12,32","7,32","7,32"
3/23/2002,"12,30","11,21","7,04","7,04"
3/30/2002,"11,64","11,64","6,17","6,17"
4/6/2002,"10,87","11,09","5,72","5,72"
4/13/2002,"15,84","17,03","8,71","8,71"
4/20/2002,"15,96","16,37","8,75","8,75"
4/27/2002,"20,11","20,09","4,00","20,11"
5/4/2002,"25,31","26,67","4,38","25,31"
5/11/2002,"18,95","20,13","4,00","4,00"
5/18/2002,"20,89","22,86","4,13","4,13"
5/25/2002,"12,92","11,36","4,00","4,00"
6/1/2002,"8,91","4,00","5,57","5,57"
6/8/2002,"14,21","14,14","7,69","6,60"
6/15/2002,"14,42","13,91","7,73","7,16"
6/22/2002,"15,30","14,09","7,61","6,30"
6/29/2002,"15,97","15,95","15,89","15,57"
7/6/2002,"17,79","17,79","17,52","14,12"
7/13/2002,"17,90","17,90","17,35","12,19"
7/20/2002,"16,22","16,22","15,59","12,36"
7/27/2002,"14,69","16,21","15,44","14,69"
8/3/2002,"13,60","15,39","13,52","13,30"
8/10/2002,"9,43","9,37","11,72","9,43"
8/17/2002,"10,08","10,02","12,41","10,08"
8/24/2002,"11,83","11,94","14,07","11,83"
8/31/2002,"6,93","6,93","5,90","5,90"
9/7/2002,"6,53","7,09","5,75","5,75"
9/14/2002,"5,90","6,08","5,54","5,54"
9/21/2002,"4,87","4,74","4,86","4,86"
9/28/2002,"4,00","4,00","4,00","4,00"
10/5/2002,"4,00","4,00","4,00","4,00"
10/12/2002,"4,09","4,00","4,01","4,01"
10/19/2002,"4,87","4,00","4,62","4,62"
10/26/2002,"7,24","7,24","6,61","6,61"
11/2/2002,"7,21","4,00","6,72","6,72"
11/9/2002,"5,92","4,00","5,66","5,77"
11/16/2002,"6,29","4,00","5,90","5,90"
11/23/2002,"6,37","5,67","5,67","6,98"
11/30/2002,"5,58","5,18","5,66","5,84"
12/7/2002,"5,65","4,00","5,74","7,16"
12/14/2002,"5,64","4,00","6,13","9,46"
12/21/2002,"4,00","4,00","4,01","4,01"
12/28/2002,"4,00","4,00","4,00","4,00"
1/4/2003,"4,17","4,10","5,23","5,23"
1/11/2003,"4,00","4,00","4,00","4,00"
1/18/2003,"4,06","4,00","4,25","4,06"
1/25/2003,"4,00","4,00","4,00","4,00"
2/1/2003,"4,00","4,00","4,00","4,00"
2/8/2003,"4,00","4,00","4,00","4,00"
2/15/2003,"4,00","4,00","4,00","4,00"
2/22/2003,"4,00","4,00","4,00","4,00"
3/1/2003,"4,00","4,00","4,00","4,00"
3/8/2003,"4,00","4,00","4,00","4,00"
3/15/2003,"4,00","4,00","4,00","4,00"
3/22/2003,"4,00","4,00","4,00","4,00"
3/29/2003,"4,00","4,00","4,00","4,00"
4/1/2003,"5,48","5,48","5,48","5,48"
4/5/2003,"5,48","5,48","5,48","5,48"
4/12/2003,"5,48","5,48","5,48","5,48"
4/19/2003,"5,48","5,48","5,48","5,48"
4/26/2003,"5,48","5,48","5,48","5,48"
5/3/2003,"6,65","6,65","5,57","5,49"
5/10/2003,"6,64","6,64","5,96","5,79"
5/17/2003,"7,25","7,25","6,25","6,25"
5/24/2003,"8,52","8,52","7,10","7,10"
5/31/2003,"12,03","12,03","11,49","9,31"
6/7/2003,"12,11","12,11","11,31","11,31"
6/14/2003,"9,17","9,17","9,17","9,17"
6/21/2003,"10,72","10,72","10,55","10,55"
6/28/2003,"13,52","13,52","9,98","13,52"
7/5/2003,"14,39","14,67","10,33","14,35"
7/12/2003,"13,85","16,96","10,84","13,79"
7/19/2003,"11,87","11,89","9,04","11,84"
7/26/2003,"12,05","12,13","9,08","12,02"
8/2/2003,"15,60","17,16","13,12","15,52"
8/9/2003,"18,67","18,98","14,31","18,66"
8/16/2003,"17,47","18,75","13,64","17,39"
8/23/2003,"16,81","20,34","12,93","16,72"
8/30/2003,"16,88","18,76","13,77","16,88"
9/6/2003,"17,72","20,41","14,30","17,72"
9/13/2003,"17,03","19,53","13,62","17,03"
9/20/2003,"17,93","20,56","16,95","17,93"
9/27/2003,"23,91","24,37","20,02","23,91"
10/4/2003,"26,65","27,30","21,13","26,65"
10/11/2003,"26,83","27,69","20,05","26,83"
10/18/2003,"22,70","23,01","17,32","22,69"
10/25/2003,"27,87","28,01","20,95","27,50"
11/1/2003,"24,35","25,93","20,50","24,11"
11/8/2003,"27,67","30,56","23,20","27,67"
11/15/2003,"31,90","35,12","26,70","31,90"
11/22/2003,"29,19","29,30","29,19","29,19"
