inicio_semana,preco_pesado,preco_medio,preco_leve,geracao_hidraulica,geracao_termica,carga_energia,reservatorio_EARM,reservatorio_ENA
8/4/2001,"684,00","684,00","684,00","8854,14","1065,71","20056,57","26,19","90,14"
8/11/2001,"684,00","684,00","684,00","9332,43","968,00","20064,86","25,43","82,29"
8/18/2001,"684,00","684,00","684,00","9803,00","982,71","20339,00","24,49","76,57"
8/25/2001,"684,00","684,00","684,00","10247,86","931,86","20587,14","23,68","76,71"
9/1/2001,"684,00","684,00","684,00","9783,86","929,14","20565,57","23,02","94,00"
9/8/2001,"684,00","684,00","684,00","9682,29","981,43","20837,86","22,16","82,57"
9/15/2001,"684,00","684,00","684,00","9135,29","937,71","20376,57","21,54","81,29"
9/22/2001,"336,00","336,00","336,00","9649,86","983,14","21062,86","20,91","83,00"
9/29/2001,"336,00","336,00","336,00","9504,00","832,86","20794,29","20,71","99,86"
10/6/2001,"336,00","336,00","336,00","9096,29","796,00","20394,43","21,26","120,86"
10/13/2001,"336,00","336,00","336,00","9353,29","1038,00","20588,43","21,41","118,57"
10/20/2001,"336,00","336,00","336,00","8899,71","982,71","20777,43","21,53","113,29"
10/27/2001,"336,00","336,00","336,00","9127,71","1002,86","20982,14","21,38","95,00"
11/3/2001,"336,00","336,00","336,00","10135,43","1238,71","20870,00","20,85","59,71"
11/10/2001,"336,00","336,00","336,00","10164,00","1211,43","20986,43","20,77","70,43"
11/17/2001,"336,00","336,00","336,00","9823,57","1524,71","21359,00","21,67","83,86"
11/24/2001,"336,00","336,00","336,00","10244,00","1358,00","22383,29","22,70","94,71"
12/1/2001,"336,00","336,00","336,00","9716,14","1341,43","21852,43","23,89","84,43"
12/8/2001,"336,00","336,00","336,00","9510,86","1597,86","22764,00","25,07","84,57"
12/15/2001,"336,00","336,00","336,00","9401,57","1394,57","22022,14","26,66","86,29"
12/22/2001,"336,00","336,00","336,00","9881,29","964,14","19295,57","29,25","94,00"
12/29/2001,"336,00","336,00","336,00","4516,14","140,43","7834,71","31,62","100,00"
1/1/2002,"336,00","336,00","336,00","6116,57","643,14","11650,71","33,89","114,25"
1/5/2002,"336,00","336,00","336,00","10792,43","1496,43","22349,00","36,32","103,14"
1/12/2002,"336,00","336,00","336,00","11354,71","1351,43","21957,57","39,70","101,43"
1/19/2002,"336,00","336,00","336,00","12812,71","1112,43","22278,43","44,01","110,57"
1/26/2002,"134,76","134,76","134,76","13373,00","1308,43","23596,57","46,34","107,71"
2/2/2002,"134,76","134,76","134,76","12935,29","1052,57","22684,00","48,78","101,71"
2/9/2002,"9,25","9,25","9,25","12972,86","969,57","21670,29","53,19","111,14"
2/16/2002,"5,42","5,42","5,42","13946,86","891,71","23304,00","57,58","117,14"
2/23/2002,"8,14","8,14","8,14","14656,57","827,43","23662,00","62,19","121,86"
3/2/2002,"4,66","4,66","4,66","15087,43","727,29","24537,43","64,62","113,29"
3/9/2002,"8,70","8,70","8,70","14576,29","1239,29","25329,71","65,52","96,29"
3/16/2002,"13,10","13,10","13,10","14608,86","1268,71","25147,71","66,35","86,57"
3/23/2002,"12,30","12,30","12,30","14068,86","1391,57","23781,86","68,70","86,86"
3/30/2002,"11,64","11,64","11,64","14761,14","1471,29","24931,00","70,37","99,14"
4/6/2002,"10,87","10,87","10,87","13664,00","974,57","24738,71","70,80","90,29"
4/13/2002,"15,84","15,84","15,84","14574,00","897,43","25298,71","70,73","82,57"
4/20/2002,"15,96","15,96","15,96","14589,71","965,71","25307,86","70,12","76,57"
4/27/2002,"20,57","20,09","20,03","14088,86","802,86","24427,14","69,28","73,71"
