inicio_semana,preco_pesado,preco_medio,preco_leve,geracao_hidraulica,geracao_termica,carga_energia,reservatorio_EARM,reservatorio_ENA
8/4/2001,"4,00","4,00","4,00","7243,57","1002,43","6681,43","96,89","137,86"
8/11/2001,"37,12","37,12","37,12","6898,14","1245,00","6778,71","95,16","119,86"
8/18/2001,"60,62","60,62","60,62","6607,29","1318,00","6742,71","89,98","99,29"
8/25/2001,"86,94","86,94","86,94","6323,86","1480,57","6785,14","85,45","88,43"
9/1/2001,"93,24","93,24","93,24","6047,43","1249,71","6623,57","84,01","72,71"
9/8/2001,"63,55","63,55","63,55","5846,00","1423,00","6612,86","81,52","72,86"
9/15/2001,"79,72","79,72","79,72","5895,29","1215,14","6506,71","78,40","73,86"
9/22/2001,"63,55","63,55","63,55","6014,71","1409,29","6725,43","74,90","70,57"
9/29/2001,"63,55","63,55","63,55","5893,86","1279,29","6632,86","85,21","366,43"
10/6/2001,"4,00","4,00","4,00","7065,57","1110,14","6541,57","94,70","337,00"
10/13/2001,"4,00","4,00","4,00","7426,57","1078,43","6757,14","95,93","291,43"
10/20/2001,"4,00","4,00","4,00","7226,29","1099,43","6752,43","97,56","254,14"
10/27/2001,"4,00","4,00","4,00","7394,29","1042,86","8864,86","96,84","179,14"
11/3/2001,"41,74","41,74","41,74","6124,29","1230,14","6832,86","93,91","69,14"
11/10/2001,"46,62","46,62","46,62","6213,14","1116,43","6690,71","91,88","81,14"
11/17/2001,"41,74","41,74","41,74","6270,43","1144,43","7057,00","91,27","87,57"
11/24/2001,"31,82","31,82","31,82","6449,86","1187,14","7076,57","88,04","84,43"
12/1/2001,"4,00","4,00","4,00","6229,14","1192,57","6911,00","87,15","138,29"
12/8/2001,"4,00","4,00","4,00","6712,00","1177,29","7203,29","85,38","129,86"
12/15/2001,"49,30","49,30","49,30","6735,00","1256,57","7191,00","83,66","130,29"
12/22/2001,"41,74","41,74","41,74","4931,29","1048,29","5893,29","83,02","121,71"
12/29/2001,"41,74","41,74","41,74","1387,86","440,86","2451,43","82,64","115,00"
1/1/2002,"41,74","41,74","41,74","1796,57","631,00","3630,43","82,42","58,00"
1/5/2002,"64,04","64,04","64,04","3755,14","1364,86","7011,29","81,74","58,43"
1/12/2002,"64,04","64,04","64,04","3424,57","1361,86","6940,29","82,69","76,29"
1/19/2002,"64,04","64,04","64,04","3086,71","1047,71","7324,43","86,01","86,29"
1/26/2002,"8,88","8,88","8,88","5191,43","874,86","7359,57","91,10","108,43"
2/2/2002,"10,82","10,82","10,82","5211,71","1259,86","7106,57","92,53","119,86"
2/9/2002,"8,88","8,88","8,88","4963,29","1188,86","6719,43","91,29","96,57"
2/16/2002,"5,14","5,14","5,14","4779,43","1091,86","7229,29","89,61","86,29"
2/23/2002,"6,97","6,97","6,97","4651,57","1271,29","7459,14","88,50","77,71"
3/2/2002,"4,12","4,12","4,12","4937,43","1322,43","7658,57","86,75","70,00"
3/9/2002,"8,38","8,38","8,38","5766,57","1339,71","7917,14","85,06","75,86"
3/16/2002,"12,32","12,32","12,32","6448,14","1249,57","7728,86","81,26","73,57"
3/23/2002,"11,21","11,21","11,21","4778,57","1205,00","7284,57","77,05","69,71"
3/30/2002,"11,64","11,64","11,64","4109,00","1241,29","7106,43","75,08","60,00"
4/6/2002,"11,09","11,09","11,09","4454,29","1257,14","7428,57","72,22","52,71"
4/13/2002,"17,03","17,03","17,03","5102,86","1215,71","7342,86","68,40","50,43"
4/20/2002,"16,37","16,37","16,37","4855,71","1182,57","7258,43","65,03","54,29"
4/27/2002,"20,42","20,09","20,03","4753,29","1106,43","6851,71","60,61","51,00"
5/4/2002,"27,19","26,82","26,29","5015,14","1164,57","7021,71","57,70","47,43"
5/11/2002,"20,43","20,17","19,99","4373,14","1116,00","7216,43","55,99","46,57"
5/18/2002,"23,17","22,83","22,81","4485,71","1128,29","6916,00","65,48","90,29"
5/25/2002,"11,67","11,47","11,11","4091,71","1132,14","6655,71","73,40","107,57"
6/1/2002,"4,00","4,00","4,00","5391,71","1188,14","7063,86","74,50","58,71"
6/8/2002,"14,42","14,21","13,96","5908,43","1205,14","7008,86","75,03","78,71"
6/15/2002,"14,37","14,22","13,31","7175,71","765,71","6932,00","74,33","106,43"
6/22/2002,"15,06","14,16","13,71","7024,43","665,29","6866,14","70,70","99,14"
6/29/2002,"16,15","15,99","15,83","6969,00","741,29","6936,29","66,71","91,71"
7/6/2002,"17,93","17,91","17,56","6439,43","761,57","6870,43","63,42","80,14"
7/13/2002,"18,04","17,98","17,75","6028,57","799,71","6746,29","59,51","66,00"
7/20/2002,"16,31","16,30","16,08","5739,71","804,57","6809,57","55,54","58,29"
7/27/2002,"17,12","17,12","14,61","4472,29","820,43","6796,14","54,39","78,00"
8/3/2002,"16,44","16,44","13,56","4819,57","869,14","6831,86","59,26","137,57"
8/10/2002,"9,47","9,44","9,23","7005,29","737,29","6902,71","62,43","130,29"
8/17/2002,"10,11","10,11","9,85","7132,29","774,71","6973,71","59,79","113,43"
8/24/2002,"12,11","12,00","11,79","5658,14","802,14","6979,14","60,42","114,14"
8/31/2002,"7,00","6,98","6,85","5786,86","780,43","6694,29","58,49","57,57"
9/7/2002,"7,55","7,55","6,50","5202,43","856,14","6632,29","58,04","57,43"
9/14/2002,"6,20","6,20","5,86","5606,00","1043,29","6756,00","63,62","84,29"
9/21/2002,"4,83","4,83","4,59","6369,00","1154,29","6769,43","74,65","122,57"
9/28/2002,"4,00","4,00","4,00","7065,71","793,86","7060,71","80,78","143,14"
10/5/2002,"4,00","4,00","4,00","7373,14","896,29","7332,00","88,19","169,14"
10/12/2002,"4,00","4,00","4,00","6769,71","866,86","7204,43","90,77","150,57"
10/19/2002,"4,00","4,00","4,00","7353,14","529,29","7184,43","92,78","138,71"
10/26/2002,"7,29","7,27","7,18","7910,29","579,57","7125,43","95,33","152,57"
11/2/2002,"4,00","4,00","4,00","7233,57","645,00","6879,71","96,50","196,57"
11/9/2002,"4,00","4,00","4,00","7746,57","590,43","6897,57","96,93","201,57"
11/16/2002,"4,00","4,00","4,00","8225,86","481,57","6181,08","96,74","195,43"
11/23/2002,"5,83","5,83","5,39","8149,71","567,29","7562,43","96,40","182,86"
11/30/2002,"5,21","5,21","5,14","7960,43","506,29","7402,86","97,10","308,43"
12/7/2002,"4,00","4,00","4,00","7580,86","595,71","7244,86","97,16","298,57"
12/14/2002,"4,00","4,00","4,00","6934,29","585,57","7543,14","96,71","257,71"
12/21/2002,"4,00","4,00","4,00","6894,57","685,14","6300,86","97,01","235,00"
12/28/2002,"4,00","4,00","4,00","4103,00","322,57","3712,43","97,46","231,00"
1/4/2003,"4,16","4,16","4,00","8126,43","494,43","7391,57","96,01","139,00"
1/11/2003,"4,00","4,00","4,00","7493,57","557,43","7503,43","93,84","132,57"
1/18/2003,"4,00","4,00","4,00","7268,57","545,71","7637,14","90,09","122,00"
1/25/2003,"4,00","4,00","4,00","6405,29","618,43","7542,14","86,50","113,43"
2/1/2003,"4,00","4,00","4,00","6144,29","780,14","7996,86","84,21","84,57"
2/8/2003,"4,00","4,00","4,00","5409,14","825,71","7645,57","83,71","92,00"
2/15/2003,"4,00","4,00","4,00","5070,00","886,14","7583,14","84,39","95,14"
2/22/2003,"4,00","4,00","4,00","5538,00","943,29","7917,43","88,63","106,57"
3/1/2003,"4,00","4,00","4,00","5488,57","958,29","7536,43","90,19","110,14"
